2014-07-07 13:38:47,145 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:38:47,803 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:38:47,833 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:38:47,837 | INFO  | Recovery replayed 2 operations from the journal in 0.017 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 13:38:48,006 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-57459-1404736727870-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:38:48,032 | INFO  | Listening for connections at: tcp://NDW1298:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:38:48,038 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:38:48,046 | INFO  | Listening for connections at: amqp://NDW1298:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:38:48,052 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:38:48,061 | INFO  | Listening for connections at: stomp://NDW1298:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:38:48,069 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:38:48,078 | INFO  | Listening for connections at: mqtt://NDW1298:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:38:48,082 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
